Date,Competition,Comp_Code,Matchday,Home,Away,Home_Goals,Away_Goals,Team,Opponent,Venue,Buts_Pour,Buts_Contre,Resultat,Stage,Group
2025-08-17,Ligue 1,FL1,1,FC Nantes,Paris Saint-Germain FC,0,1,Paris Saint-Germain FC,FC Nantes,Away,1,0,W,REGULAR_SEASON,
2025-08-22,Ligue 1,FL1,2,Paris Saint-Germain FC,Angers SCO,1,0,Paris Saint-Germain FC,Angers SCO,Home,1,0,W,REGULAR_SEASON,
2025-08-30,Ligue 1,FL1,3,Toulouse FC,Paris Saint-Germain FC,3,6,Paris Saint-Germain FC,Toulouse FC,Away,6,3,W,REGULAR_SEASON,
2025-09-14,Ligue 1,FL1,4,Paris Saint-Germain FC,Racing Club de Lens,2,0,Paris Saint-Germain FC,Racing Club de Lens,Home,2,0,W,REGULAR_SEASON,
2025-09-17,Champions League,CL,1,Paris Saint-Germain FC,Atalanta BC,4,0,Paris Saint-Germain FC,Atalanta BC,Home,4,0,W,LEAGUE_STAGE,
2025-09-22,Ligue 1,FL1,5,Olympique de Marseille,Paris Saint-Germain FC,1,0,Paris Saint-Germain FC,Olympique de Marseille,Away,0,1,L,REGULAR_SEASON,
2025-09-27,Ligue 1,FL1,6,Paris Saint-Germain FC,AJ Auxerre,2,0,Paris Saint-Germain FC,AJ Auxerre,Home,2,0,W,REGULAR_SEASON,
2025-10-01,Champions League,CL,2,FC Barcelona,Paris Saint-Germain FC,1,2,Paris Saint-Germain FC,FC Barcelona,Away,2,1,W,LEAGUE_STAGE,
2025-10-05,Ligue 1,FL1,7,Lille OSC,Paris Saint-Germain FC,1,1,Paris Saint-Germain FC,Lille OSC,Away,1,1,D,REGULAR_SEASON,
2025-10-17,Ligue 1,FL1,8,Paris Saint-Germain FC,RC Strasbourg Alsace,3,3,Paris Saint-Germain FC,RC Strasbourg Alsace,Home,3,3,D,REGULAR_SEASON,
2025-10-21,Champions League,CL,3,Bayer 04 Leverkusen,Paris Saint-Germain FC,2,7,Paris Saint-Germain FC,Bayer 04 Leverkusen,Away,7,2,W,LEAGUE_STAGE,
2025-10-25,Ligue 1,FL1,9,Stade Brestois 29,Paris Saint-Germain FC,0,3,Paris Saint-Germain FC,Stade Brestois 29,Away,3,0,W,REGULAR_SEASON,
